ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,0,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.497663,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,-9999,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.462428,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.396054,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.497663,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.542452,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,36.25,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.411761,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,-9999,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.411184,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.380597,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.453332,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,41.25,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.48167,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,43.75,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.463468,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,41.25,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,-9999,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,41.25,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.411184,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,41.25,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.380597,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,41.25,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.453332,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,41.25,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.48167,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,43.75,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.463468,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,41.25,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,-9999,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,41.25,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.411184,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,41.25,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.380597,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,41.25,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.453332,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,41.25,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.48167,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,43.75,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.463468,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,41.25,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,-9999,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,41.25,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.411184,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,41.25,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.380597,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,41.25,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.453332,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,41.25,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.48167,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,41.25,-9999
13,NEE_CUT_REF,YY_USTAR_THRESHOLD,0.453332,-9999
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,38.75,2017
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,-9999,2017
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,38.75,2018
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.409072,2018
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,38.75,2019
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.375418,2019
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,38.75,2020
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.436989,2020
14,NEE_VUT_REF,YY_USTAR_PERCENTILE,38.75,2021
14,NEE_VUT_REF,YY_USTAR_THRESHOLD,0.455885,2021
15,RECO_NT_CUT_REF,HH_USTAR_PERCENTILE,11.25,-9999
15,RECO_NT_CUT_REF,HH_USTAR_THRESHOLD,0.319002,-9999
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2017
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,-9999,2017
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2018
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.449621,2018
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2019
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.390183,2019
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2020
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.47798,2020
16,RECO_NT_VUT_REF,HH_USTAR_PERCENTILE,46.25,2021
16,RECO_NT_VUT_REF,HH_USTAR_THRESHOLD,0.526646,2021
17,RECO_NT_CUT_REF,DD_USTAR_PERCENTILE,11.25,-9999
17,RECO_NT_CUT_REF,DD_USTAR_THRESHOLD,0.319002,-9999
