ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.00,-9999
1,TA,ERA_INTERCEPT,-0.01,-9999
1,TA,ERA_RMSE,1.84,-9999
1,TA,ERA_CORRELATION,0.99,-9999
2,PA,ERA_SLOPE,1.00,-9999
2,PA,ERA_INTERCEPT,-0.03,-9999
2,PA,ERA_RMSE,0.14,-9999
2,PA,ERA_CORRELATION,0.99,-9999
3,VPD,ERA_SLOPE,1.01,-9999
3,VPD,ERA_INTERCEPT,-0.03,-9999
3,VPD,ERA_RMSE,2.12,-9999
3,VPD,ERA_CORRELATION,0.92,-9999
4,WS,ERA_SLOPE,0.96,-9999
4,WS,ERA_INTERCEPT,0.12,-9999
4,WS,ERA_RMSE,1.12,-9999
4,WS,ERA_CORRELATION,0.75,-9999
5,P,ERA_SLOPE,0.77,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,1.00,-9999
6,SW_IN,ERA_INTERCEPT,-0.06,-9999
6,SW_IN,ERA_RMSE,83.07,-9999
6,SW_IN,ERA_CORRELATION,0.94,-9999
7,LW_IN,ERA_SLOPE,1.00,-9999
7,LW_IN,ERA_INTERCEPT,-0.02,-9999
7,LW_IN,ERA_RMSE,20.45,-9999
7,LW_IN,ERA_CORRELATION,0.95,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,0.03,-9999
8,LW_IN_JSB,ERA_RMSE,33.88,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.91,-9999
