ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.00,-9999
1,TA,ERA_INTERCEPT,-0.00,-9999
1,TA,ERA_RMSE,1.36,-9999
1,TA,ERA_CORRELATION,0.99,-9999
2,PA,ERA_SLOPE,1.00,-9999
2,PA,ERA_INTERCEPT,-0.04,-9999
2,PA,ERA_RMSE,0.05,-9999
2,PA,ERA_CORRELATION,1.00,-9999
3,VPD,ERA_SLOPE,1.00,-9999
3,VPD,ERA_INTERCEPT,-0.02,-9999
3,VPD,ERA_RMSE,1.59,-9999
3,VPD,ERA_CORRELATION,0.94,-9999
4,WS,ERA_SLOPE,0.87,-9999
4,WS,ERA_INTERCEPT,0.45,-9999
4,WS,ERA_RMSE,0.72,-9999
4,WS,ERA_CORRELATION,0.84,-9999
5,P,ERA_SLOPE,0.29,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,1.00,-9999
6,SW_IN,ERA_INTERCEPT,-1.99,-9999
6,SW_IN,ERA_RMSE,73.69,-9999
6,SW_IN,ERA_CORRELATION,0.95,-9999
7,LW_IN,ERA_SLOPE,1.00,-9999
7,LW_IN,ERA_INTERCEPT,-0.01,-9999
7,LW_IN,ERA_RMSE,20.62,-9999
7,LW_IN,ERA_CORRELATION,0.94,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,0.10,-9999
8,LW_IN_JSB,ERA_RMSE,33.04,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.92,-9999
