ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2017
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2018
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2019
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2020
1,USTAR_MP_METHOD,SUCCESS_RUN,1,2021
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2017
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2018
2,USTAR_CP_METHOD,SUCCESS_RUN,0,2019
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2020
2,USTAR_CP_METHOD,SUCCESS_RUN,1,2021
3,NEE_CUT_USTAR50,USTAR_THRESHOLD,0.230783,-9999
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.202698,2017
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.216614,2018
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.22925,2019
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.242198,2020
4,NEE_VUT_USTAR50,USTAR_THRESHOLD,0.242198,2021
5,NEE_CUT_REF,HH_USTAR_PERCENTILE,48.75,-9999
5,NEE_CUT_REF,HH_USTAR_THRESHOLD,0.22925,-9999
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2017
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.202811,2017
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2018
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.217748,2018
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2019
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.230238,2019
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2020
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.243595,2020
6,NEE_VUT_REF,HH_USTAR_PERCENTILE,51.25,2021
6,NEE_VUT_REF,HH_USTAR_THRESHOLD,0.243414,2021
7,NEE_CUT_REF,DD_USTAR_PERCENTILE,43.75,-9999
7,NEE_CUT_REF,DD_USTAR_THRESHOLD,0.225857,-9999
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,43.75,2017
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.199066,2017
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,43.75,2018
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.210519,2018
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,43.75,2019
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.225352,2019
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,43.75,2020
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.235365,2020
8,NEE_VUT_REF,DD_USTAR_PERCENTILE,43.75,2021
8,NEE_VUT_REF,DD_USTAR_THRESHOLD,0.235365,2021
9,NEE_CUT_REF,WW_USTAR_PERCENTILE,36.25,-9999
9,NEE_CUT_REF,WW_USTAR_THRESHOLD,0.219204,-9999
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2017
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.202811,2017
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2018
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.217748,2018
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2019
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.230238,2019
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2020
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.243595,2020
10,NEE_VUT_REF,WW_USTAR_PERCENTILE,51.25,2021
10,NEE_VUT_REF,WW_USTAR_THRESHOLD,0.243414,2021
11,NEE_CUT_REF,MM_USTAR_PERCENTILE,36.25,-9999
11,NEE_CUT_REF,MM_USTAR_THRESHOLD,0.219204,-9999
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,43.75,2017
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.199066,2017
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,43.75,2018
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.210519,2018
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,43.75,2019
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.225352,2019
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,43.75,2020
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.235365,2020
12,NEE_VUT_REF,MM_USTAR_PERCENTILE,43.75,2021
12,NEE_VUT_REF,MM_USTAR_THRESHOLD,0.235365,2021
13,NEE_CUT_REF,YY_USTAR_PERCENTILE,36.25,-9999
