ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
1,TA,ERA_SLOPE,1.00,-9999
1,TA,ERA_INTERCEPT,-0.00,-9999
1,TA,ERA_RMSE,1.29,-9999
1,TA,ERA_CORRELATION,0.99,-9999
2,PA,ERA_SLOPE,1.00,-9999
2,PA,ERA_INTERCEPT,-0.04,-9999
2,PA,ERA_RMSE,0.13,-9999
2,PA,ERA_CORRELATION,0.98,-9999
3,VPD,ERA_SLOPE,1.00,-9999
3,VPD,ERA_INTERCEPT,-0.02,-9999
3,VPD,ERA_RMSE,1.47,-9999
3,VPD,ERA_CORRELATION,0.95,-9999
4,WS,ERA_SLOPE,0.93,-9999
4,WS,ERA_INTERCEPT,0.21,-9999
4,WS,ERA_RMSE,0.63,-9999
4,WS,ERA_CORRELATION,0.86,-9999
5,P,ERA_SLOPE,0.31,-9999
5,P,ERA_INTERCEPT,-9999,-9999
5,P,ERA_RMSE,-9999,-9999
5,P,ERA_CORRELATION,-9999,-9999
6,SW_IN,ERA_SLOPE,1.00,-9999
6,SW_IN,ERA_INTERCEPT,-1.94,-9999
6,SW_IN,ERA_RMSE,73.69,-9999
6,SW_IN,ERA_CORRELATION,0.95,-9999
7,LW_IN,ERA_SLOPE,1.00,-9999
7,LW_IN,ERA_INTERCEPT,-0.01,-9999
7,LW_IN,ERA_RMSE,21.43,-9999
7,LW_IN,ERA_CORRELATION,0.94,-9999
8,LW_IN_JSB,ERA_SLOPE,1.00,-9999
8,LW_IN_JSB,ERA_INTERCEPT,0.05,-9999
8,LW_IN_JSB,ERA_RMSE,33.14,-9999
8,LW_IN_JSB,ERA_CORRELATION,0.92,-9999
